teambrbr01	Hoje tem AC do Ribamar	Universidade de São Paulo	USP
teambrbr02	KLM	Universidade Federal de Roraima	UFRR
teambrbr03	Vêm tranquilo, afoba não	Universidade Estadual de Feira de Santana	UEFS
teambrbr04	cuscuz com cachaça	Universidade de São Paulo - Campus de São Carlos	USP - São Carlos
teambrbr05	Os k-ésimos	Universidade Federal de Alagoas - Campus Arapiraca	UFAL Arapiraca
teambrbr06	Xerebêlerebébis	Universidade Federal de Minas Gerais	UFMG
teambrbr07	Que bixiga é essa?	Universidade Federal do Rio Grande do Norte	UFRN
teambrbr08	UnespRPM	UNESP - Universidade Estadual Paulista - (Faculdade de Ciências - Bauru)	UNESP-Bauru
teambrbr09	anarquia às 8	Universidade Federal do ABC	UFABC
teambrbr10	Você é fraco, te falta O(1)	Universidade do Estado do Amazonas	UEA
teambrbr11	AC(¬‿¬)WA	Universidade Federal do Ceará	UFC
teambrbr12	Monkeys	Instituto de Informática - UFG
teambrbr13	União Fiasco	Universidade Federal da Bahia	UFBA
teambrbr14	Sem TLE irmão	Universidade Federal do Pará
teambrbr15	NP-Lúcia	Pontificia Universidade Catolica do Rio de Janeiro	PUC Rio de Janeiro
teambrbr16	Mews Lovers	Universidade do Estado de Santa Catarina	UDESC
teambrbr17	Wrong Answer 1000%	Universidade Federal do Acre	UFAC
teambrbr18	UFMA Time 1	Universidade Federal do Maranhão	UFMA
teambrbr19	EM3.1415NA	Fundação Universidade Federal de Rondônia	UNIR
teambrbr20	Três caras numa moto	Universidade Federal do Piauí
teambrbr21	Programadores: continue	Universidade Tecnológica Federal do Paraná - Campus Curitiba	UTFPR-CT
teambrbr22	KondZhiLa	Universidade de São Paulo	USP
teambrbr23	[nome_do_time]	Universidade Federal do Rio Grande do Sul	UFRGS
teambrbr24	Dorime	Universidade Federal de Sergipe	U Federal de Sergipe
teambrbr25	Qual o nome do time?	Universidade Estadual do Sudoeste da Bahia	UESB
teambrbr26	namae wa??	Universidade Estadual de Campinas	UNICAMP
teambrbr27	vae victis	Universidade Federal de Campina Grande	UFCG
teambrbr28	Quero café	Faculdade de Computação - UFMS	FACOM - UFMS
teambrbr29	O amarelo é impostor	Universidade Federal de Campina Grande	UFCG
teambrbr30	$wa	Universidade Estadual de Campinas	UNICAMP
teambrbr31	GTA: Grover's Street Algorithms	Universidade Federal de Minas Gerais	UFMG
teambrbr32	O(f*ck)	Centro Federal de Educação Tecnológica de Minas Gerais - Campus 2	CEFET-MG-C2
teambrbr33	A query tá on	Universidade Federal de Alagoas	UFAL
teambrbr34	Rock Lee Casado Não Vai + Pra Pagode	Universidade de Brasília	UnB
teambrbr35	GGG	Instituto Tecnológico de Aeronautica	ITA
teambrbr36	Beto was ejected	Universidade Federal de Pernambuco	UFPE
teambrbr37	YouShallNot.stay	Universidade Federal do Paraná	UF Paraná
teambrbr38	RGB IFSP-ARQ Team	Instituto Federal de São Paulo	IFSP
teambrbr39	Amigos da Aracele	Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - Campus Muzambinho	IFSULMGMuz
teambrbr40	PD pá	Centro Federal de Educação Tecnológica Celso Suckow da Fonseca - Campus Petrópolis	CEFET/RJ Petrópolis
teambrbr41	Bagre Branco, Branco Bagre	Universidade Federal de Viçosa	DPI-UFV
teambrbr42	WA em O(1)	Instituto Militar de Engenharia	IME
teambrbr43	BalloonField	Pontifícia Universidade Católica de Goiás	PUC-Goiás
teambrbr44	2 matemáticos e 2 flamenguistas	Instituto Federal de Educação, Ciência e Tecnologia da Paraíba - Campus João Pessoa	IFPB - João Pessoa
teambrbr45	Mensageiros do à main	Universidade de Brasília - Faculdade UnB Gama	UnB/FGA
teambrbr46	Que time?	Universidade Federal do Rio de Janeiro	UFRJ
teambrbr47	:ultra_fast_parrot:	Universidade Federal do Ceará - Campus Quixadá
teambrbr48	Abacate Atômico	Universidade Estadual do Ceará	UECE
teambrbr49	Vamu vense	Universidade Federal de Mato Grosso - Campus Cuiabá	UFMT - Cuiabá
teambrbr50	man java	Universidade Federal do Espirito Santo	UFES
teambrbr51	Code Zwang	INATEL - Instituto Nacional de Telecomunicações
teambrbr52	NP-Compeixe	Institute of Computing - Federal University of Amazonas	IComp/UFAM
teambrbr53	Home Off C++	Universidade Federal de Uberlândia	UFU
teambrbr54	Code Distancing	Universidade do Extremo Sul Catarinense	UNESC
teambrbr55	Overclock	UNIVEM - Centro Universitário Eurípides de Marília
teambrbr56	No Main No Gain	Faculdade de Tecnologia de Sorocaba
teambrbr57	deitando no gramado	Universidade de São Paulo - Campus de São Carlos	USP - São Carlos
teambrbr58	CPA - Carregados Pelo Alyson	Instituto Federal de Ensino, Ciência e Tecnologia do Ceará	IFCE
teambrbr59	Bolonhesa	Universidade Federal de Santa Catarina (Campus Florianópolis)	UF Santa Catarina
teambrbr60	S -> aSa | a	Federal University of Sao Carlos	UFSCar
teambrbr61	Alquimistas	UNOESTE - Universidade do Oeste Paulista	UNOESTE
teambrbr62	seila	Universidade Federal de Viçosa - Campus Florestal	UFV - Campus Florest
teambrbr63	The droids you are looking for	Universidade Federal de Itajubá - Campus Itajubá	UNIFEI
teambrbr64	Conexão Tucuju: aqui o caixeiro chegou de barco	Universidade Federal do Amapá	UNIFAP
